,Claim Reference,Policy Year,Policy Description,Directorate Description,Department Name,Incident Date,Notification Date,Status Flag,Payment Year,Payment Date,Payment Type, Amount,Cause Description,Injury Description,Damage Description
0,M9SAR000018,2009,Schools All Risks,"CHILDREN, FAMILIES & LEARNERS",St. Marys R C High,2009-11-10,2009-11-20,CLOSED,2009,2009-12-22,Compensation payment,1150.0,Theft - Computer,,Computers
1,M9MF000072,2009,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",Education Passenger Transport,2009-11-02,2009-11-13,CLOSED,2009,2009-12-23,Fees Own Solicitor,42.5,Other,,Bodywork - Minor
2,M9FB000034,2009,Fire Blanket,OPERATIONS NOT NOW INSURED,Westwood Language College For Girls,2009-11-30,2010-01-15,CLOSED,2010,2010-01-19,Compensation payment,1019.0,Storm,,Roof
3,M9MF000073,2009,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",47a Calley Down Crescent,2009-11-08,2009-11-20,CLOSED,2010,2010-02-26,Fees Own Solicitor,42.5,Collision - Immobile property/object,,Bodywork - Minor
4,M9MF000072,2009,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",Education Passenger Transport,2009-11-02,2009-11-13,CLOSED,2010,2010-02-26,Compensation payment,1458.0,Other,,Bodywork - Minor
5,M9MF000081,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Housing - Other,2009-11-26,2009-12-04,CLOSED,2010,2010-02-26,Compensation payment,1461.51,Collision - Hit whilst parked and unatte,,Bodywork - Minor
6,M9MF000073,2009,Motor Fleet,"CHILDREN, FAMILIES & LEARNERS",47a Calley Down Crescent,2009-11-08,2009-11-20,CLOSED,2010,2010-03-01,Compensation payment,806.68,Collision - Immobile property/object,,Bodywork - Minor
7,N0FB000017,2010,Fire Blanket,OPERATIONS NOT NOW INSURED,Westwood Language College For Girls,2010-01-05,2010-01-18,CLOSED,2010,2010-03-09,Compensation payment,1002.0,Storm,,Roof
8,M9FB000040,2009,Fire Blanket,OPERATIONS NOT NOW INSURED,Westwood Language College For Girls,2009-12-01,2010-02-15,CLOSED,2010,2010-03-09,Compensation payment,1290.0,Storm,,Windows
9,M9SAR000020,2009,Schools All Risks,OPERATIONS NOT NOW INSURED,Shirley High,2009-11-15,2009-11-17,CLOSED,2010,2010-03-09,Compensation payment,1650.0,Theft - Lead & Lead Flashings,,Roof - Lead
10,N0SAR000027,2010,Schools All Risks,OPERATIONS NOT NOW INSURED,Woodcote High,2010-01-03,2010-01-29,CLOSED,2010,2010-03-09,Compensation payment,3250.0,Theft - Attempted,,Windows
11,M9SAR000019,2009,Schools All Risks,OPERATIONS NOT NOW INSURED,Shirley High,2009-11-08,2009-11-19,CLOSED,2010,2010-03-09,Compensation payment,4300.0,Theft - Lead & Lead Flashings,,Roof - Lead
12,M9MF000086,2009,Motor Fleet,OPERATIONS NOT NOW INSURED,Norbury Manor Business College for Girls,2009-11-24,2010-01-15,CLOSED,2010,2010-03-19,Compensation payment,2875.16,Collision - Other,,Bodywork - Minor
13,M9MF000090,2009,Motor Fleet,DEVELOPMENT & ENVIRONMENT,Transport,2009-12-21,2009-12-31,CLOSED,2010,2010-03-26,Fees Own Solicitor,42.5,Collision - Losing control,,Bodywork - Extensive
